ObjCoeff,yLP,Dual,RC,yInt,,,,
0.811144,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-304.760315_-999.601624_-115.465500_-304.004791_-222.468399_-619.915222_0.000000_0.000000_-682.780396_-87.237999_-64.042000_-142.491180_-567.413208_-619.986389_-149.855515_-1613.403809_-1625.089355_-78.540802_-266.004211_-1293.480835_,0.000000_0.000000_0.000000_0.000000_0.000000_10778.622070_10855.612305_10798.961914_10662.338867_10506.591797_10383.759766_10304.615234_10096.949219_10236.718750_10131.617188_9824.183594_9228.369141_9124.136719_8977.809570_7650.560547_8052.335938_8878.482422_8558.005859_7462.768066_7817.726074_8418.319336_8663.177734_8402.613281_7522.560059_7745.462402_8664.113281_9311.471680_8240.646484_7948.446777_8259.702148_9613.619141_7286.758789_6397.552246_7735.474121_7984.148438_7661.981934_7768.831543_7997.758789_8430.703125_8882.450195_8576.252930_8462.498047_7981.665039_8112.553223_6483.325684_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.001763_0.002765_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000077_0.000000_0.000106_0.000000_0.000000_0.000000_0.000000_0.000000_0.000005_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-33.486950_-93.058701_-71.361504_-96.015503_-80.026802_-6832.550293_-125.982498_-61.942162_-150.061798_-314.450409_-72.433899_-115.319397_-3747.994629_-125.544998_-145.560806_-802.586426_-1196.468994_-917.505005_-1810.578003_-1442.141357_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_5002.443848_5584.420898_2847.628174_0.000000_2486.475098_0.000000_0.000000_0.000000_1937.352539_0.000000_0.000000_1004.005005_3213.045166_0.000000_0.000000_0.000000_5640.669434_5427.155273_5456.960938_5502.413086_,0,,,,
0.533323,0.500000_0.258020_0.274486_0.137243_0.068622_0.036282_0.067031_0.097063_0.221048_0.339488_0.139579_0.212315_0.148046_0.080377_0.211019_0.182840_0.200364_0.164152_0.227135_0.219445_0.201896_0.236931_0.244519_0.230457_0.245132_0.242597_0.177253_0.165707_0.162188_0.166640_0.168428_0.159667_0.159910_0.163217_0.160005_0.194932_0.166466_0.172040_0.186543_0.196931_0.201034_0.201004_0.199687_0.178121_0.192904_0.190540_0.187062_0.189376_0.185343_0.185724_,-417.575409_-2063.254150_-2111.466309_-1113.753174_-3069.164795_-3419.040771_-655.705017_-1439.215576_-2316.068604_-1980.724487_-1717.477173_-1585.210205_-3844.498047_-1529.563232_-1338.811768_-1202.110962_-3865.697998_-2277.071533_-977.536011_-3752.73291,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.0667235,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-613.345215_-3191.387939_-4437.358398_-1935.824341_-7846.934570_-7140.534180_-1250.742310_-1844.910522_-3342.382080_-9544.583984_-2931.851318_-1180.604736_-10157.665039_-6281.283203_-2957.740479_-613.345215_-3283.892090_-4909.343262_-1126.939209_-3200.847,0.000000_0.000000_-6912.915527_-4198.636719_-4163.147461_-3998.188965_-3890.773926_-4368.468750_-3954.119385_-4076.541016_-4219.668457_-4087.695801_-3921.982178_-3694.484863_-3653.068359_-3458.953369_-3292.098633_-3290.067627_-3040.357178_-2950.742920_-3008.044434_-2991.413086_-2908.699707_-2934.492188_-2872.554443_-2914.005127_-2536.166016_-2679.605957_-2666.606689_-2583.242920_-2666.119873_-2271.112793_-2237.176514_-2154.884033_-2133.251221_-2171.019775_-1737.557983_-1668.614624_-1919.975342_-1769.744263_-1699.342407_-1669.004272_-1662.502319_-1681.149048_-1666.233154_-1667.461914_-1630.064697_-1651.023926_-1653.778076_-1685.400024_,1,,,,
0.711175,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000066_0.000000_0.000000_0.000000_0.000066_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-514.206421_-1067.537598_-569.893677_-115.265129_-772.766418_-5573.964844_-145.852798_-708.917480_-1080.269409_-2251.596191_-1030.651978_-58.757999_-1230.260742_-560.343994_-877.895996_-3025.114258_-4533.066895_-3575.504639_-318.054962_-4052.853027_-6959.,0.000000_0.000000_1509.924805_2533.428467_2953.836670_2592.956543_2763.393066_2589.083496_2538.686768_2461.124023_1977.798096_1790.135132_1316.716187_320.080078_475.568115_266.865631_115.367371_266.666565_227.816071_249.364624_185.391724_146.738861_96.681419_207.168259_195.726944_229.824966_30.071133_189.188644_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_709.697083_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.677774,0.500000_0.395663_0.197832_0.235599_0.279407_0.390389_0.452294_0.460678_0.357434_0.319678_0.525327_0.438171_0.466927_0.460907_0.397852_0.470089_0.436760_0.439612_0.414739_0.396770_0.405317_0.388269_0.383446_0.386609_0.382409_0.382415_0.450026_0.437716_0.447417_0.444228_0.441914_0.439615_0.443376_0.438477_0.441092_0.415229_0.460672_0.421595_0.436565_0.439576_0.427012_0.425476_0.431960_0.443238_0.424428_0.436666_0.440210_0.436315_0.439480_0.439314_,-333.106201_-3147.623535_-347.773804_-585.027832_-2584.175293_-4521.882812_-1895.459961_-567.133972_-3034.225098_-5549.537109_-3337.208008_0.000000_-3051.168945_-2740.482422_0.000000_-1193.149414_-1437.496216_-2583.427734_-413.558868_-1254.336304_-3316.85,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-2807.859619_-901.966797_-3233.033936_-3073.450684_-1310.651978_-1988.456421_-2361.013184_-1149.901245_-3398.690430_-1678.756836_-1249.063232_-1945.280396_-5137.116211_-2511.457275_-3125.992920_-2807.859619_-901.966797_-3233.033936_-3073.450684_-1310.651978_,0.000000_0.000000_0.000000_0.000000_10271.469727_9864.411133_9948.293945_9933.475586_9508.906250_9307.597656_9819.541992_9836.187500_9782.323242_9761.976562_9624.109375_8834.409180_8599.958008_8721.171875_8763.016602_8725.644531_8729.949219_8772.821289_8927.729492_9156.222656_9344.405273_9373.622070_8935.935547_8767.123047_8819.838867_9038.766602_7680.338379_9487.379883_9002.074219_9601.166016_9488.013672_9767.484375_9669.841797_9756.285156_9826.703125_9601.121094_9855.738281_9843.651367_9841.686523_9716.101562_9553.326172_9567.416992_9569.633789_9438.764648_9339.889648_9440.944336_,0,,,,
0.455595,0.500000_0.250000_0.125000_0.062500_0.324063_0.248998_0.124499_0.062250_0.031125_0.100915_0.327623_0.313671_0.097209_0.140671_0.172316_0.102928_0.131910_0.268831_0.160720_0.189001_0.167883_0.181085_0.175585_0.174918_0.176836_0.180939_0.067983_0.117539_0.110007_0.091235_0.103896_0.129729_0.126530_0.125568_0.128433_0.157636_0.129319_0.141895_0.100472_0.104959_0.087820_0.140103_0.095856_0.136176_0.105784_0.117651_0.117699_0.103965_0.108561_0.112191_,0.000000_0.000000_-346.396515_0.000000_0.000000_-307.737305_0.000000_-123.203697_0.000000_-259.807587_0.000000_0.000000_-469.683502_-388.677887_0.000000_-1607.021973_-1160.843140_-1488.453369_-1591.668823_-1074.822021_-1578.393555_-1623.540039_-1054.233643_-2279.108398_-1210.222046_-985.260010_-786.860718_-1999.586060_-1709.147583_-1397.405151_-5621.031250_-3847.922119_-4407.324219_-4873.942871_-3419.545166_-7043.265625_-3984.553223_-1882.357544_-6522.131836_-3734.650879_-2234.323242_-2732.141113_-9675.327148_-4917.337891_-5277.596191_-6286.634766_-4011.687500_-6157.570801_-5687.624023_-4643.959961_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.688934,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-603.798828_-1084.478027_0.000000_-948.348389_-1089.157471_-1311.470947_-209.268402_-339.857208_-1584.936279_-927.148499_-257.174408_-190.057999_-499.766388_-715.415222_-1176.781494_-2916.561035_-2903.332031_-2886.637451_-3439.663086_-3111.194824_-3216.182373_-2431.545654_-1104.161865_-5226.105469_-2675.647705_-1325.234375_-1875.081543_-8770.488281_-2651.720947_-3451.872314_-5334.924805_-6310.584473_-4911.387207_-4555.367188_-4747.806641_,0.000000_0.000000_0.000000_4319.885254_3741.491211_3757.806641_3851.769287_3561.319580_3409.833496_3304.631348_3483.136230_3393.787842_3346.726562_3360.651611_3342.482666_3402.217285_3241.012451_3296.429443_3403.194824_3457.974854_3510.791992_3163.356445_3009.667969_3671.116455_3581.820312_3389.909180_2822.883301_2791.844238_2744.551270_2966.379883_2349.932373_2179.197266_2259.183350_2433.091309_2712.786133_2431.483154_2471.670654_2475.708008_2479.258789_2273.959473_2198.984131_2278.905273_2257.682129_2154.055176_1935.891357_2224.876953_2223.600098_2258.950439_2251.806885_2060.563965_,0,,,,
0.033323,0.500000_0.750000_0.875000_0.937500_0.675937_0.751002_0.875501_0.937750_0.968875_0.899085_0.672377_0.686329_0.902791_0.859329_0.827684_0.897072_0.868090_0.731169_0.839280_0.810998_0.832117_0.818915_0.824415_0.825082_0.823164_0.819061_0.932017_0.882461_0.889993_0.908765_0.896104_0.870271_0.873470_0.874432_0.871567_0.842364_0.870681_0.858105_0.899528_0.895041_0.912180_0.859897_0.904144_0.863824_0.894216_0.882349_0.882301_0.896035_0.891439_0.887809_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.400031,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,-969.380127_0.000000_-1462.562988_-1061.072266_-93.617996_-899.539795_0.000000_-520.193420_-1173.357422_-759.437622_0.000000_-671.584900_-1517.438965_-1136.135376_-74.428398_-1203.368408_-64.426201_-1462.562988_-1390.370605_-592.914001_-142.032593_-168.64,0.000000_0.000000_3858.123779_2562.646240_2352.919678_2291.821045_2234.848633_2151.068604_2131.225342_2177.720215_2372.679688_2363.411133_2327.312500_2208.022705_2035.929565_1827.339844_1647.832397_1650.194702_1590.936890_1551.028320_1413.564331_1209.540527_853.224121_1118.432495_841.918640_833.426575_1194.837891_911.577881_750.199036_768.310608_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_321.059387_174.696106_491.137146_346.533966_579.566406_294.028412_244.665009_120.862549_0.000000_248.426331_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.777821,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-167.134506_-53.688499_-192.442505_-182.943497_-78.014999_-118.360497_-140.536499_-68.446503_-202.302994_-99.926003_-74.348999_-115.790497_-180.647507_-149.491501_-186.070999_-491.124115_-64.426201_-192.442505_-182.943497_-199.032501_,0.000000_0.000000_0.000000_0.000000_8663.126953_8694.407227_9396.183594_8978.250000_8914.915039_8795.803711_9152.004883_8468.009766_9003.841797_8811.138672_8029.798828_6662.537598_6362.836914_6299.572266_5874.745117_5734.038574_5726.221680_5871.032227_5965.555664_5984.852539_6047.134277_5995.232422_6038.605469_5118.204590_5113.071289_5149.328125_4594.604492_5180.890625_5234.910645_4441.193848_4340.650879_4820.562988_5467.054688_4773.185059_2845.449219_2360.380371_2647.591797_3206.125000_3552.079590_4755.758789_3707.501465_3694.887451_4028.663330_1678.997070_4197.125977_4284.896484_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-957.175171_0.000000_-987.588013_-823.132812_-1183.212036_0.000000_-637.119385_-1543.492798_-1029.110352_0.000000_0.000000_0.000000_0.000000_-1497.196777_-2986.777344_-4056.187744_-734.004028_-1563.681030_-2379.830811_,0.000000_0.000000_0.000000_0.000000_0.000000_12343.824219_11518.448242_11594.632812_11334.303711_11223.626953_11089.268555_11292.930664_11104.219727_11175.245117_11421.846680_11668.250000_11710.618164_11788.250977_11982.376953_12043.169922_12032.164062_12019.755859_12009.031250_11998.143555_12007.166016_11999.364258_11541.190430_11854.861328_11849.890625_11901.498047_11919.062500_12122.596680_12123.373047_12138.403320_12118.393555_12091.494141_11993.991211_11956.560547_12035.558594_12041.961914_12030.164062_12030.025391_12017.785156_11971.291016_11929.267578_11964.015625_11961.405273_11956.982422_11963.718750_11958.011719_,0,,,,
0.211097,0.500000_0.352020_0.588125_0.401158_0.700579_0.602470_0.443193_0.618288_0.678886_0.632236_0.714293_0.582952_0.570439_0.531224_0.668220_0.538586_0.566599_0.597661_0.607841_0.598548_0.612139_0.611731_0.624887_0.627047_0.623613_0.625376_0.584060_0.584379_0.590216_0.578783_0.581654_0.559716_0.560600_0.564641_0.559251_0.583425_0.552587_0.574210_0.556043_0.594771_0.595674_0.600627_0.579443_0.556154_0.575572_0.583545_0.575561_0.579531_0.575623_0.576580_,-434.549713_-2112.598145_0.000000_-889.859802_-851.739502_-1094.667480_-365.394897_0.000000_0.000000_-919.352478_-1504.987061_-1058.807495_-814.304993_-1920.062744_0.000000_-4267.967773_-3603.076660_-1640.898193_-2231.292236_-2573.372803_-3191.409912_-610,0.000000_0.000000_0.000000_0.000000_-114.468361_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.0222412,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-2664.262451_-1192.479980_-1918.117554_-2190.110107_-98.233002_-2525.379883_-36.901741_-182.231918_-1768.897461_-627.116394_-2814.382568_-2033.674561_-1493.192993_-2271.780029_-2065.446533_-177.617493_-506.803986_0.000000_0.000000_-98.233002_-271.963989_0,0.000000_0.000000_-1565.986206_-2113.121582_-2337.019043_-1205.909424_-1875.524292_-1433.824219_-1863.728638_-1950.470215_-1703.735962_-1649.642822_-2101.339844_-2048.029297_-1987.939453_-1925.406982_-1662.085571_-1787.531616_-1804.828857_-1946.171509_-1982.734009_-2088.404785_-2121.358398_-2207.576416_-2305.866211_-2274.647705_-3257.567871_-3036.448486_-3060.213623_-3002.912354_-3127.572998_-2987.454834_-3046.789795_-3142.761719_-3037.379639_-3047.335693_-3435.804443_-3408.234619_-3283.559814_-3278.782715_-3268.396240_-3285.404785_-3311.800781_-3443.434814_-3417.834717_-3423.032471_-3450.399658_-3464.317871_-3494.777832_-3516.122314_,1,,,,
0.244498,0.500000_0.750000_0.875000_0.937500_0.968750_0.984375_0.992188_0.996094_0.998047_0.999023_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_1.000000_,-14293.543945_-12453.500000_-9861.219727_-3523.178711_-3739.853760_-10544.902344_-4138.003906_-7967.508301_-13287.795898_-2002.637451_-11219.654297_-4281.956543_-9563.142578_-13181.569336_-11897.792969_-10269.000000_-10653.250000_-3843.165283_-4626.628906,0.000000_0.000000_-4408.049805_-7439.081543_-6787.037598_-7099.367676_-6841.250000_-6092.348145_-6314.937012_-6242.472168_-6601.564453_-6574.294922_-6482.100586_-6246.451172_-6141.926270_-5973.680176_-5909.865723_-5733.563965_-5658.207520_-5616.499512_-5568.719238_-5585.653809_-5497.230957_-5463.922363_-5455.261230_-5476.112305_-5449.979492_-5411.782227_-5396.364746_-5414.047363_-5421.231934_-5585.836914_-5647.279785_-5694.968750_-5618.967285_-5522.554199_-5902.152344_-5837.497070_-5566.009277_-5528.592773_-5508.927246_-5516.019043_-5530.801270_-5485.851074_-5495.255859_-5525.112305_-5522.100098_-5518.574219_-5510.199219_-5522.097656_,1,,,,
0.222257,0.500000_0.585510_0.292755_0.299170_0.379065_0.409866_0.535459_0.371037_0.445556_0.352854_0.350093_0.415097_0.385027_0.410342_0.330314_0.395635_0.404569_0.402339_0.358126_0.401452_0.339175_0.360996_0.337236_0.321230_0.331192_0.329476_0.419225_0.396870_0.395334_0.402625_0.395065_0.398308_0.399407_0.396405_0.399952_0.387785_0.372862_0.406299_0.391133_0.363811_0.357858_0.354870_0.368353_0.380223_0.382668_0.372794_0.372697_0.374324_0.375177_0.374962_,-3239.166016_-2396.210938_-1085.241821_-482.028412_-2141.571045_-927.443970_-1626.566284_-131.750671_-2713.934082_-1724.191528_-1988.000000_-1601.286377_-662.344788_-1988.000000_-847.577209_-2713.160889_-2289.605469_-1365.304199_-1497.731079_-1967.685059_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.288903,0.500000_0.267280_0.133640_0.066820_0.033410_0.016705_0.008352_0.004176_0.002088_0.006274_0.035068_0.094110_0.111427_0.056687_0.062265_0.063788_0.053564_0.040346_0.029996_0.026082_0.036037_0.039089_0.043847_0.049320_0.043818_0.045148_0.025024_0.032969_0.034949_0.035572_0.025427_0.042680_0.039004_0.043119_0.040797_0.000000_0.076163_0.067890_0.052824_0.040612_0.046467_0.044502_0.052204_0.062257_0.041760_0.043660_0.051720_0.046384_0.049199_0.048458_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-499.288788_-485.620789_0.000000_0.000000_-315.730988_0.000000_0.000000_0.000000_-287.579987_0.000000_-384.252014_0.000000_-390.866394_-490.228790_0.000000_-3643.376953_-6384.898438_0.000000_0.000000_-2366.052246_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
