ObjCoeff,yLP,Dual,RC,yInt,,,,
0.704391,0.500000_0.750000_0.578890_0.761687_0.870290_0.889658_0.866626_0.843429_0.831830_0.826031_0.820232_0.823292_0.820232_0.800204_0.829163_0.818542_0.819543_0.820232_0.820232_0.820232_,-5254.279297_-3813.589355_-2904.862305_-8928.000000_-2929.920654_-7903.978027_-9218.861328_-9792.000000_-4296.874512_-9792.000000_-5291.818359_-4356.694824_-8640.000000_-9792.000000_-7731.112305_-248.414398_-499.827209_-149.174393_-935.356995_-299.524200_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_1397.720459_,0,,,,
0.204391,0.500000_0.299122_0.445671_0.315833_0.642136_0.763122_0.842323_0.921162_0.937515_0.939377_0.946885_0.935492_0.917201_0.886336_0.903172_0.889246_0.918966_0.918304_0.928834_0.914260_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-113.685822_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.556775,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.840651,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_2012.126953_2023.090332_2165.294189_2218.466309_2323.639648_2309.556885_2318.451172_2265.710449_2281.010742_2301.162598_2307.937988_2442.570557_2438.664795_2503.022705_2563.607178_2564.519531_,0,,,,
1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_-110.042000_0.000000_0.000000_-160.458298_-421.134399_0.000000_-503.884796_0.000000_0.000000_0.000000_-409.898407_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_1322.389526_1516.685425_1143.059082_1111.073242_988.619629_919.649719_974.530273_877.221191_665.194214_667.422119_580.194092_543.843811_712.799133_745.432251_740.453674_575.730713_726.941589_,0,,,,
0.920515,0.500000_0.250000_0.125000_0.062500_0.260808_0.544831_0.599320_0.644436_0.609330_0.491265_0.455161_0.439435_0.438083_0.295718_0.307701_0.512691_0.479436_0.497396_0.477964_0.501956_,0.000000_-1146.662354_-969.633606_0.000000_-1946.907349_0.000000_0.000000_0.000000_0.000000_0.000000_-1022.442505_0.000000_0.000000_0.000000_0.000000_-1780.303223_-1264.268799_-1069.083252_-2365.903076_-2146.590088_,0.000000_0.000000_167.336487_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.13626,0.500000_0.250000_0.125000_0.323481_0.161740_0.080870_0.118638_0.149203_0.171084_0.174178_0.158458_0.175028_0.186822_0.199796_0.167225_0.181222_0.181467_0.179768_0.179768_0.179768_,0.000000_0.000000_0.000000_0.000000_-549.127686_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-323.417603_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0,,,,
0.317941,0.500000_0.750000_0.659083_0.829542_0.685212_0.428179_0.308982_0.219831_0.294304_0.371915_0.386381_0.385537_0.384121_0.504487_0.480685_0.344705_0.341908_0.347979_0.342385_0.349819_,-204.918793_-1041.674438_0.000000_-1626.739380_0.000000_-128.839600_0.000000_-1177.893555_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1,,,,
0.852385,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_2295.897217_2407.216064_2303.895020_2328.670898_2377.889648_2393.085693_2439.229736_2297.985352_2249.856201_1574.545898_1064.932617_1322.754028_1391.263062_1447.357300_1172.780396_987.419250_,0,,,,
