LB,UB,ObjCoeff,yLP,Dual,RC,yInt
32596.5,53399.3,0.70458,0.500000_0.250000_0.125000_0.178411_0.138990_0.175542_0.180600_0.179649_0.204030_0.192738_0.186063_0.181834_0.168805_0.160787_0.172413_0.156893_0.161444_0.160249_0.169937_0.169327_0.169327_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-3731.000000_-3731.000000_0.000000_-4305.000000_-4305.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
32596.5,53399.3,0.511355,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_1722.758301_1529.609619_1680.512207_1657.076904_1559.058960_1364.948730_1491.617065_1660.693604_1652.836426_1589.349976_1589.349976_,0
32596.5,53399.3,0.20458,0.500000_0.327763_0.241645_0.156568_0.118730_0.077842_0.038921_0.019461_0.009730_0.024420_0.045830_0.047108_0.065966_0.041876_0.059487_0.059891_0.055107_0.058596_0.060229_0.063966_0.063017_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
32596.5,53399.3,0.556775,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
32596.5,53399.3,0.84084,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_3709.027100_3374.002686_3143.903076_4154.951660_4197.943359_3789.652832_4232.103516_4236.405762_4344.048340_4319.594727_4331.368164_,0
32596.5,53399.3,1,0.500000_0.250000_0.125455_0.067503_0.033751_0.016876_0.008438_0.004219_0.002109_0.001055_0.005706_0.026013_0.018789_0.024300_0.016489_0.025845_0.023714_0.023863_0.019737_0.020023_0.020023_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_48.376301_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
32596.5,53399.3,0.920515,0.500000_0.250000_0.125000_0.062500_0.056098_0.081532_0.112013_0.111035_0.094802_0.101182_0.107340_0.124216_0.108844_0.103049_0.097906_0.106571_0.106591_0.102741_0.109104_0.108648_0.108648_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
32596.5,53399.3,0.13645,0.500000_0.301299_0.200450_0.135787_0.067893_0.033947_0.016973_0.008487_0.004243_0.002122_0.000000_0.000000_0.000000_0.000420_0.008149_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_467.063538_713.470764_782.040771_395.898163_83.602943_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
32596.5,53399.3,0.31813,0.500000_0.250000_0.125000_0.092039_0.068473_0.206744_0.180749_0.173791_0.238125_0.237269_0.263554_0.223229_0.214091_0.238268_0.228346_0.233126_0.222707_0.228758_0.229241_0.228017_0.227209_,0.000000_0.000000_0.000000_0.000000_-828.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-828.000000_0.000000_0.000000_-828.000000_-828.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
32596.5,53399.3,0.852385,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_1476.262695_1495.368408_1402.083618_,0
