score,pred,q
-7.577779572120286,0,0.0
-7.548587817211309,0,0.0
1.810988213662206,1,0.51
-0.9027943083495704,0,0.51
2.190596714274755,1,0.51
-7.352188511760255,0,0.0
-5.751114427467873,0,0.51
-7.728266017453457,0,0.0
7.293643082320876,1,1.0
-7.352188511760255,0,0.0
0.2761932727375995,1,0.51
-7.304417526858058,0,0.0
-7.607937542492812,0,0.0
4.261789803776222,1,1.0
-3.5554431523490635,0,0.51
4.3073823162723075,1,1.0
-6.682037688055262,0,0.51
-7.7835988607784214,0,0.0
1.3219760409682302,1,0.51
1.6959790174391196,1,0.51
-4.350566086729249,0,0.51
-7.024801565120914,0,0.51
-7.404990008315205,0,0.0
-7.7835988607784214,0,0.0
-5.340825276155638,0,0.51
-7.546538628941922,0,0.0
0.5314385648794188,1,0.51
1.8095688532997622,1,0.51
-2.0510363307223156,0,0.51
-7.147723951170322,0,0.0
-6.226864501386702,0,0.51
-6.7609395331745805,0,0.51
6.921422189516349,1,1.0
-7.370615604544502,0,0.0
-7.030431893144541,0,0.51
-6.7438268583312215,0,0.51
-7.289223466131615,0,0.0
-7.761230071727926,0,0.0
6.88071409554034,1,1.0
-7.193955999607732,0,0.0
1.3955801650181066,1,0.51
-7.701453623422297,0,0.0
-7.810605355298946,0,0.0
-1.930125674370501,0,0.51
6.556450233943901,1,1.0
-7.106143919549941,0,0.0
1.9222364764390474,1,0.51
-6.313785842077404,0,0.51
-3.6765528303376804,0,0.51
-7.106143919549941,0,0.0
6.186785033653734,1,1.0
-6.575864965117344,0,0.51
-7.102788945620486,0,0.51
-6.313785842077404,0,0.51
3.376940594872863,1,0.51
7.084525960507558,1,1.0
7.12455774000595,1,1.0
-0.7429805037369686,0,0.51
-2.4284980383235024,0,0.51
-6.445456929623444,0,0.51
