LB,UB,ObjCoeff,yLP,Dual,RC,yInt
53399.3,53399.3,0.920515,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_-608.553589_-486.848694_-2473.072266_0.000000_0.000000_0.000000_0.000000_-1298.205444_-1591.215576_-525.994812_,0.000000_0.000000_3328.488525_0.000000_0.000000_4042.819336_3926.364258_4042.819336_4042.819336_4042.819336_4042.819336_,0
53399.3,53399.3,0.13645,0.500000_0.250000_0.332689_0.666345_0.833172_0.916586_0.958293_0.979147_0.989573_0.994787_1.000000_,-593.945007_-557.840820_-137.316299_-517.663330_0.000000_-122.306801_-209.916306_0.000000_0.000000_-448.804413_-482.161896_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.31813,0.500000_0.500000_0.323184_0.208840_0.104420_0.052210_0.026105_0.013052_0.006526_0.003263_0.000000_,0.000000_0.000000_0.000000_0.000000_-630.081909_-121.949600_0.000000_-1385.589355_0.000000_0.000000_-229.940002_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.852385,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_3695.567139_3730.843994_3684.347412_3631.644531_3809.558594_3742.131348_,0
53399.3,53399.3,0,0.500000_0.500000_0.469127_0.234563_0.117282_0.058641_0.029320_0.014660_0.007330_0.003665_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.0681302,0.500000_0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.47729,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_-0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.420515,0.500000_0.740470_0.662546_0.331273_0.165636_0.082818_0.041409_0.020705_0.010352_0.005176_0.000000_,0.000000_-353.924011_-520.914001_-623.245972_-575.020020_-497.885498_-661.562012_-542.526001_0.000000_-1534.553955_-528.359985_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.88645,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_-656.149780_0.000000_0.000000_-164.705200_0.000000_,0.000000_0.000000_1409.053345_181.188339_343.101257_880.730835_0.000000_1264.731201_800.592224_877.249512_1098.407104_,0
53399.3,53399.3,0.68187,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_3701.756836_3850.345459_3785.918213_3747.722412_3731.320312_3625.150146_3773.252441_3741.982178_,0
53399.3,53399.3,0.77271,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-100.492798_-102.089203_-1065.374146_0.000000_-438.479309_-218.378601_-241.374496_-2664.324951_0.000000_-689.339722_-2711.849121_,0.000000_0.000000_1251.719360_1335.213013_1515.760742_1353.268433_1032.495117_1047.489380_1272.208374_1423.605713_1125.844238_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_3061.405518_2742.087891_2586.093506_3331.194336_0.000000_3090.784180_,0
53399.3,53399.3,0.102195,0.500000_0.750000_0.667310_0.333655_0.666828_0.833414_0.916707_0.958353_0.979177_0.989588_1.000000_,0.000000_-653.378296_-1472.751343_-1158.751343_-335.307709_-166.995407_-779.986328_-1065.625488_-893.967224_-1976.517334_-79.594498_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,1
53399.3,53399.3,0.88645,0.500000_0.250000_0.332689_0.666345_0.333172_0.166586_0.083293_0.041647_0.020823_0.010412_0.000000_,-118.335602_-1433.392212_-1536.696289_-2524.146240_-1322.546021_-628.908020_-826.952515_-2197.230225_0.000000_-2959.497070_-739.703979_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0
53399.3,53399.3,0.86374,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_3721.862305_3311.435059_3251.055420_3546.622803_3550.680908_3209.581299_,0
53399.3,53399.3,0.965935,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,-213.547195_-226.742004_-789.166016_0.000000_-515.857971_0.000000_0.000000_0.000000_0.000000_-510.622009_-530.630005_,0.000000_0.000000_3309.313477_2238.122803_2132.382812_1870.085938_1516.517944_1375.943115_0.000000_2115.607666_1826.313477_,0
53399.3,53399.3,1,0.500000_0.250000_0.125000_0.062500_0.031250_0.015625_0.007812_0.003906_0.001953_0.000977_0.000000_,0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_0.000000_,0.000000_0.000000_0.000000_3449.895508_3688.901855_3828.561035_3732.295166_3746.669189_3800.493408_3800.265381_3790.235840_,0
