LB,ObjCoeff,Dual,RC,y_lp_sum,ylp,yint
55914.4,1,0.897715,0.595412,4.77E-06,0,0
55914.4,0.443225,1,-0.441331,4.77E-06,0,0
55914.4,0.61374,0.995553,-0.441331,1.72E-05,0,0
55914.4,0.0340651,0.996529,-0.441331,0.00359613,0,0
55914.4,0.193225,0.378895,-0.441331,0.00384252,0,1
55914.4,1,0.97216,0.163467,4.77E-06,0,0
55914.4,0.40916,1,0.0579851,4.77E-06,0,0
55914.4,0.95458,-1.00E+00,-0.326802,3.44E-05,0,0
55914.4,0.0340651,1,-0.441331,0.999965,1,1
55914.4,0.54542,-0.255713,-0.210802,4.77E-06,0,0
55914.4,1,1,1,4.77E-06,0,0
55914.4,0.511355,-0.284873,-0.441331,0.0038887,0,0
55914.4,0.54542,0.0420808,-0.0883481,4.77E-06,0,0
55914.4,0.352195,-0.731647,-0.441331,0.997421,1,1
55914.4,0.511355,-0.251427,-0.441331,4.77E-06,0,0
55914.4,0.29542,1,-0.441331,0.877635,0.936292,0
55914.4,0.40916,0.276246,0.0268962,4.77E-06,0,0
55914.4,0.329485,0.561146,0.0430702,4.77E-06,0,0
55914.4,1,1,-0.441331,4.77E-06,0,0
55914.4,0.43187,0.526148,-0.441331,0.999994,1,1
55914.4,0.79542,0.384825,0.292127,4.77E-06,0,0
55914.4,0.27271,-0.00753136,-0.441331,0.994657,1,1
55914.4,0.63645,0.425454,0.117257,4.77E-06,0,0
55914.4,1,1,0.999686,4.77E-06,0,0
55914.4,0.579485,0.152662,-0.441331,0.00540286,-2.55E-13,1
55914.4,0.88645,0.997101,0.215181,4.77E-06,0,0
55914.4,0.238645,0.503701,-0.441331,0.99462,1,0
55470.2,1,1,-0.523544,0.00244141,0,0
55470.2,0.329485,1,-0.523544,0.00244141,0,0
55470.2,0.579485,1,-0.523544,0.00244141,0,0
55470.2,0.56813,-0.022041,-0.523544,0.00244141,0,0
55470.2,0.329485,-0.174348,-1.00E+00,0.99707,1,1
55470.2,0.647805,1,-0.523544,0.00244141,0,0
55470.2,0.65916,1,-0.523544,0.00244141,0,0
55470.2,0.84084,1,-0.523544,0.00244141,0,0
55470.2,0.011355,1,-0.523544,0.00244141,0,0
55470.2,1,1,-0.523544,0.00244141,0,0
